"filename", "language", "CSS", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/stewards.svg", "XML", 0, 0, 5, 0, 0, 1, 6
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/streamlined-process.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/wallet.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/Footer.js", "JavaScript", 0, 38, 0, 0, 0, 5, 43
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/Loading.js", "JavaScript", 0, 16, 0, 0, 0, 4, 20
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/Navbar.js", "JavaScript", 0, 111, 0, 0, 1, 6, 118
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/Tester.js", "JavaScript", 0, 9, 0, 0, 0, 2, 11
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/Transition.js", "JavaScript", 0, 17, 0, 0, 0, 5, 22
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/ButtonsContainer.js", "JavaScript", 0, 38, 0, 0, 0, 3, 41
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/GeoblocsChart.js", "JavaScript", 0, 137, 0, 0, 5, 12, 154
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/StatusChart.js", "JavaScript", 0, 114, 0, 0, 4, 7, 125
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ManageGeoblocs.js", "JavaScript", 0, 293, 0, 0, 11, 14, 318
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectConditions.js", "JavaScript", 0, 128, 0, 0, 0, 11, 139
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectDocuments.js", "JavaScript", 0, 154, 0, 0, 0, 13, 167
