"filename", "language", "JSON", "HTML", "CSS", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/register.9b5b2ae60a1e4cf61aa9153c14dc20e9.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/right-arrow-b.c723cd355afb317d2fc59da9ef73db25.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/right-arrow-g.8a6cdc266f33de20e96b9c482cf96c72.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/right-arrow.8d0a7ff2c4919bbf553641fce79f0c4c.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/scientists.a373b1137c3c06d4e480f1dcbb1c8528.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/season-icon.56d14e9ef7ff3d0af963d9c92bd77693.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 10
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/sell.aa186e9b3bf3d5daaa179564e9b8bc60.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/share.5cea1f73163f915a83a241902aa0c183.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/shield.0743679e9c7bbc61bcc3836fa859cc11.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/sponsors-icon.2c28978c3836a1b60c24525cb670fa05.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 10
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/stewards.5d281936396482d3c9d283ff9e0d727a.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/streamlined-process.0bc824c4ada22f4341a210e341816e6a.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/wallet.ca35030a58d9b2ca6e7b09f7848880e8.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/package-lock.json", "JSON", 19646, 0, 0, 0, 0, 0, 0, 1, 19647
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 1, 55
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/prettier.config.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/public/index.html", "HTML", 0, 19, 0, 0, 0, 0, 25, 3, 47
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/App.css", "CSS", 0, 0, 103, 0, 0, 0, 8, 17, 128
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/App.js", "JavaScript", 0, 0, 0, 250, 0, 0, 1, 7, 258
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/AppContext.js", "JavaScript", 0, 0, 0, 1741, 0, 0, 44, 105, 1890
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/Geoblocs.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 3, 8
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/accountDets.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 1, 18
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/add.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/admin-logo.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/back-circle.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/baseline.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/buyers.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 1, 8
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/community-centric-v2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/community-centric.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/decentralization-v2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/decentralization.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 1, 7
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/document.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/edit.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/efficiency-technology.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/environment-icon.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 10
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/fb.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/file-upload.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/flow-dots.svg", "XML", 0, 0, 0, 0, 21, 0, 0, 1, 22
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/health.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/insta.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/linkedin.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/loading.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 10
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/location.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/management.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/maximize.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/mobile-menu.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/monitor.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/monitoring-icon.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 10
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/paid-restore.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 1, 7
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/purchase-geoblocs-v2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/purchase-geoblocs.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
