"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/landing-site/Contact.js", "JavaScript", 0, 2, 0, 0, 0, 0, -1, 1
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/landing-site/Home.js", "JavaScript", 0, 14, 0, 0, 0, 2, 2, 18
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/landing-site/ProjectStories.js", "JavaScript", 0, 8, 0, 0, 0, 0, 1, 9
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/landing-site/Stakeholders.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 6
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/landing-site/Team.js", "JavaScript", 0, 30, 0, 0, 0, 0, 3, 33
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/platform/ExploreProjects.js", "JavaScript", 0, -5, 0, 0, 0, 4, 2, 1
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/platform/ProjectView.js", "JavaScript", 0, 628, 0, 0, 0, 81, 36, 745
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/platform/UserLogin.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/utils/TooltipStyles.css", "CSS", 0, 0, 0, 15, 0, 1, 1, 17
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/utils/qrcodes.js", "JavaScript", 0, 4, 0, 0, 0, 2, 1, 7
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/tailwind.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 7
"Total", "-", -161, 1506, 1, 31, 5, 275, 119, 1776
